time,high,average,open,low
2018-05-12 16:00:00,8403.6,8353.68,8365.48,8292.17
2018-05-12 15:00:00,8515.89,8411.63,8510.88,8340.59
2018-05-12 14:00:00,8555.15,8515.65,8555.15,8483.26
2018-05-12 13:00:00,8640.7,8595.86,8632.34,8555.15
2018-05-12 12:00:00,8643.63,8590.79,8541.7,8541.7
2018-05-12 11:00:00,8583.3,8539.45,8583.3,8508.61
2018-05-12 10:00:00,8583.3,8530.93,8520.3,8472.54
2018-05-12 09:00:00,8528.45,8320.69,8265.65,8250.87
2018-05-12 08:00:00,8342.55,8305.06,8342.55,8260.56
2018-05-12 07:00:00,8351.59,8324.19,8315.82,8292.15
2018-05-12 06:00:00,8338.1,8284.55,8326.34,8228.21
2018-05-12 05:00:00,8403.18,8353.51,8396.75,8317.66
2018-05-12 04:00:00,8447.43,8420.72,8415.55,8394.39
2018-05-12 03:00:00,8459.02,8424.29,8441.03,8376.26
2018-05-12 02:00:00,8473.82,8454.21,8454.09,8425.8
2018-05-12 01:00:00,8474.26,8446.13,8463.38,8407.51
2018-05-12 00:00:00,8473.76,8453.24,8413.36,8413.36
2018-05-11 23:00:00,8482.52,8439.47,8431.89,8398.66
2018-05-11 22:00:00,8460.82,8432.92,8399.04,8397.12
2018-05-11 21:00:00,8456.85,8412.46,8445.07,8356.71
2018-05-11 20:00:00,8639.77,8545.32,8611.99,8405.41
2018-05-11 19:00:00,8681.81,8643.77,8620.84,8608.11
2018-05-11 18:00:00,8643.17,8608.97,8600.76,8582.38
2018-05-11 17:00:00,8649.19,8621.32,8649.19,8569.47
2018-05-11 16:00:00,8672.23,8614.39,8585.27,8574.28
2018-05-11 15:00:00,8656.15,8609.54,8648.85,8566.64
2018-05-11 14:00:00,8665.09,8606.97,8544.99,8544.99
2018-05-11 13:00:00,8613.51,8566.23,8548.81,8532.71
2018-05-11 12:00:00,8653,8552.02,8653,8519.05
2018-05-11 11:00:00,8743.01,8710.27,8718.42,8642.76
2018-05-11 10:00:00,8779.86,8752.91,8748.46,8718.42
2018-05-11 09:00:00,8798.02,8745.78,8798.02,8691.96
2018-05-11 08:00:00,8828.36,8794.61,8752.41,8752.41
2018-05-11 07:00:00,8851.54,8774.65,8822.66,8695.06
2018-05-11 06:00:00,9003.19,8939.85,9002.86,8822.66
2018-05-11 05:00:00,9007.52,8981.16,8953.33,8952.21
2018-05-11 04:00:00,8970.82,8947.73,8929.47,8929.47
2018-05-11 03:00:00,8942.04,8933.63,8909.32,8909.32
2018-05-11 02:00:00,8959.81,8940.71,8930.76,8906.86
2018-05-11 01:00:00,8957.26,8941.33,8945.75,8912.63
2018-05-11 00:00:00,9019.71,8921.09,9019.71,8885.01
2018-05-10 23:00:00,9102.7,9062.97,9102.7,9009.19
2018-05-10 22:00:00,9107.82,9093.54,9107.82,9062.08
2018-05-10 21:00:00,9132.34,9114.24,9100.02,9099
2018-05-10 20:00:00,9113.33,9094.74,9092.44,9063.48
2018-05-10 19:00:00,9134.3,9117.19,9134.3,9081.32
2018-05-10 18:00:00,9163.65,9131.58,9159.75,9099.29
2018-05-10 17:00:00,9351.48,9202.56,9350.99,9127.02
2018-05-10 16:00:00,9362.82,9352.65,9332.28,9332.28
2018-05-10 15:00:00,9353.08,9335.38,9328.25,9323.4
2018-05-10 14:00:00,9375.24,9345.56,9375.24,9328.25
2018-05-10 13:00:00,9383.41,9362.38,9344.38,9330.78
2018-05-10 12:00:00,9350.18,9338.37,9330.84,9323.37
2018-05-10 11:00:00,9365.75,9341.91,9365.36,9323.79
2018-05-10 10:00:00,9377.12,9346.34,9341.66,9323.95
2018-05-10 09:00:00,9345.98,9337.97,9345.98,9322.72
2018-05-10 08:00:00,9378.95,9355.51,9365.22,9338.77
2018-05-10 07:00:00,9381.25,9316.32,9279.93,9279.93
2018-05-10 06:00:00,9327.26,9297.71,9299.2,9267.05
2018-05-10 05:00:00,9350.31,9332.32,9329.27,9299.2
2018-05-10 04:00:00,9342.31,9332.04,9323.58,9322.9
2018-05-10 03:00:00,9326.84,9317.11,9320.11,9302.16
2018-05-10 02:00:00,9320.11,9307.51,9312.38,9287.72
2018-05-10 01:00:00,9349.48,9327.46,9321.19,9310.52
2018-05-10 00:00:00,9358.04,9333.73,9310.65,9310.65
2018-05-09 23:00:00,9319.08,9299.35,9319.08,9282.61
2018-05-09 22:00:00,9327.34,9299.52,9249.36,9249.36
2018-05-09 21:00:00,9260.58,9249.34,9257.1,9233.26
2018-05-09 20:00:00,9301.89,9283.25,9282.07,9257.1
2018-05-09 19:00:00,9290.33,9278.69,9276.44,9257.96
2018-05-09 18:00:00,9328.84,9302.87,9308.85,9275.04
2018-05-09 17:00:00,9360.71,9333.14,9302.02,9302.02
2018-05-09 16:00:00,9304.57,9294.21,9283.26,9279.57
2018-05-09 15:00:00,9309.77,9297.91,9306.28,9283.26
2018-05-09 14:00:00,9306.28,9276.12,9268.01,9255.71
2018-05-09 13:00:00,9292.16,9274.63,9273.92,9253.23
2018-05-09 12:00:00,9319.04,9283.63,9242.41,9242.41
2018-05-09 11:00:00,9247.72,9216.03,9195.47,9184.13
2018-05-09 10:00:00,9201.63,9122.91,9109.32,9101.16
2018-05-09 09:00:00,9128.03,9111.42,9113.06,9086.5
2018-05-09 08:00:00,9129.75,9090.49,9030.26,9027.61
2018-05-09 07:00:00,9088.77,9069.65,9088.32,9030.26
2018-05-09 06:00:00,9092.1,9068.71,9065.16,9050.61
2018-05-09 05:00:00,9079.7,9047.54,9076.46,9022.89
2018-05-09 04:00:00,9076.46,9036.59,9045.95,8981.39
2018-05-09 03:00:00,9086.02,9049.31,9086.02,9009.78
2018-05-09 02:00:00,9165.23,9125.77,9164.84,9084.02
2018-05-09 01:00:00,9169.7,9161.55,9132.62,9132.62
2018-05-09 00:00:00,9191.26,9158.89,9185.62,9132.62
2018-05-08 23:00:00,9248.32,9223.61,9204.42,9185.62
2018-05-08 22:00:00,9242.69,9219.31,9187.94,9187.94
2018-05-08 21:00:00,9224.51,9193.94,9160.09,9160.09
2018-05-08 20:00:00,9240.75,9210.89,9240.75,9160.09
2018-05-08 19:00:00,9251.61,9226.32,9211.25,9206.11
2018-05-08 18:00:00,9235.86,9177.61,9130.86,9088.41
2018-05-08 17:00:00,9159.88,9141.31,9122.33,9119.61
2018-05-08 16:00:00,9179.33,9146.32,9179.33,9111.74
2018-05-08 15:00:00,9179.33,9150.1,9132.36,9124.76
2018-05-08 14:00:00,9165.6,9140.03,9126.22,9111.81
2018-05-08 13:00:00,9167.67,9137.37,9130.72,9107.81
2018-05-08 12:00:00,9202.4,9116.31,9202.4,9058.02
2018-05-08 11:00:00,9298.62,9234.94,9296.24,9190.27
2018-05-08 10:00:00,9331.17,9304.5,9301.93,9282.91
2018-05-08 09:00:00,9388.06,9314.19,9388.06,9261.27
2018-05-08 08:00:00,9392.34,9375.25,9359.01,9357.82
2018-05-08 07:00:00,9366.42,9349,9329.4,9329.4
2018-05-08 06:00:00,9362.22,9337.44,9329.97,9313.61
2018-05-08 05:00:00,9413.22,9363.82,9413.22,9319.7
